392,Maari Amman,img/vratham/MaariAmman.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
393,Suramma,img/vratham/Suramma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
394,Prithvi Devata,img/vratham/Prithvi.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
395,"Karuppu Sami ",img/vratham/Karuppu.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
396,Ellai Amman,img/vratham/Ellai.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
397,Annamar Swamy,img/vratham/Annamar.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
398,Atreyapuram Grama Devata,img/vratham/atreyapuram.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
399,"Balusulammatalli ",img/vratham/balusulamma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
400,Ayyanar,img/vratham/ayyanar.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
401,Bhadramma Thalli,img/vratham/bhadramma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
402,Dharmathakur,img/vratham/Dharmathakur.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
403,Pallamathalli Gudi,img/vratham/pallamathalligudi.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
404,Kala Kshetram Nagadevatha,img/vratham/kshetram.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
405,Kannaki Amman,img/vratham/KannakiAmman.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
406,Kasba ganapati,img/vratham/Kasba.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
407,Madurai Veeran,img/vratham/Maduraiveeran.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
408,Mavulamma Bheemavaram,img/vratham/mavulamma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
409,"Mumba Devi ",img/vratham/mumba.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
410,Muneeswaran,img/vratham/Muneeswaran.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
411,"Munnekolala Devatha ",img/vratham/munnekolala.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
412,Muthaiya Swamy,img/vratham/muthaiya.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
413,Muthyalamma,img/vratham/Muthyalamma.jpg,VILLAGE DEITIES,mantras_stotram.aspx?godname=Brahma,deactive,NULL
